iter	Passed	Remaining
0	13	13551
1	19	9534
2	25	8456
3	34	8701
4	43	8572
5	49	8175
6	55	7819
7	61	7653
8	67	7379
9	73	7260
10	79	7115
11	84	6969
12	91	6964
13	96	6820
14	101	6671
15	107	6598
16	143	8301
17	160	8749
18	170	8805
19	178	8757
20	226	10537
21	235	10462
22	244	10366
23	272	11092
24	293	11442
25	302	11343
26	310	11198
27	340	11826
28	349	11696
29	357	11555
30	365	11428
31	404	12241
32	426	12486
33	436	12402
34	471	13004
35	483	12956
36	507	13201
37	517	13100
38	527	13009
39	546	13127
40	556	13017
41	566	12929
42	575	12798
43	580	12622
44	586	12441
45	592	12297
46	597	12125
47	603	11965
48	609	11830
49	617	11735
50	623	11598
51	630	11494
52	638	11415
53	644	11292
54	650	11185
55	663	11183
56	680	11260
57	690	11216
58	697	11127
59	709	11109
60	718	11055
61	725	10979
62	731	10878
63	738	10804
64	744	10707
65	750	10615
66	755	10524
67	760	10424
68	765	10335
69	771	10249
70	777	10174
71	783	10096
72	788	10012
73	793	9928
74	799	9859
75	804	9777
76	809	9698
77	815	9634
78	819	9558
79	825	9489
80	831	9431
81	836	9365
82	841	9301
83	847	9241
84	853	9187
85	860	9150
86	868	9114
87	878	9107
88	885	9063
89	892	9023
90	897	8966
91	904	8924
92	912	8903
93	918	8853
94	925	8817
95	930	8762
96	936	8716
97	941	8662
98	945	8608
99	953	8578
100	958	8528
101	962	8477
102	968	8438
103	974	8393
104	979	8345
105	985	8315
106	990	8267
107	995	8223
108	1001	8185
109	1006	8144
110	1011	8103
111	1017	8070
112	1022	8026
113	1028	7993
114	1033	7951
115	1038	7917
116	1050	7925
117	1055	7888
118	1062	7864
119	1069	7844
120	1075	7813
121	1081	7783
122	1086	7748
123	1092	7716
124	1097	7680
125	1102	7645
126	1108	7621
127	1114	7590
128	1119	7557
129	1126	7538
130	1131	7505
131	1136	7471
132	1142	7446
133	1147	7414
134	1152	7383
135	1158	7359
136	1163	7331
137	1170	7308
138	1175	7278
139	1179	7247
140	1187	7233
141	1192	7206
142	1197	7178
143	1205	7165
144	1210	7138
145	1216	7114
146	1221	7089
147	1227	7064
148	1234	7048
149	1240	7030
150	1254	7051
151	1268	7074
152	1274	7056
153	1282	7046
154	1290	7035
155	1302	7048
156	1313	7051
157	1319	7029
158	1324	7007
159	1331	6990
160	1337	6967
161	1342	6942
162	1348	6926
163	1354	6906
164	1361	6888
165	1366	6867
166	1371	6841
167	1378	6825
168	1382	6800
169	1387	6775
170	1393	6757
